,High_School_ID,High School
997,997,Loveless Academic Magnet Program High School
998,998,Towson
999,999,Gunn
1000,1000,Cowichan (BCJHL)
1001,1001,Quesnel Millionaires
1002,1002,Boylan Catholic
1003,1003,Canon-McMillan
1004,1004,Greensburg Central
1005,1005,Westfield
1006,1006,North Gwinnett
1007,1007,The Rivers School
1008,1008,Tatnall School
1009,1009,Winchester
1010,1010,Havergal College
1011,1011,St. Mark
1012,1012,Northern
1013,1013,Moses Brown High School
1014,1014,Thousand Oaks High School
1015,1015,University High School
1016,1016,George W. Hewlett
1017,1017,Foothill
1018,1018,Scotch Plains-Fanwood
1019,1019,Wheatley
1020,1020,Earl of March Secondary School
1021,1021,Head-Royce School
1022,1022,Sacred Heart Prep
1023,1023,Okotoks (AJHL)
1024,1024,Eisenhower
1025,1025,West
1026,1026,Dr. Phillips HS
1027,1027,South Gate
1028,1028,North Reading High School
1029,1029,Exeter
1030,1030,Tampa Prep
1031,1031,Centerville High School
1032,1032,St. Joseph
1033,1033,Buhler High School
1034,1034,Holmdel HS
1035,1035,Ruben S Ayala
1036,1036,Central Bucks South
1037,1037,Choate Rosemary Academy
1038,1038,St. Ignatius Prep
1039,1039,Edinburg
1040,1040,West Plains
1041,1041,Downers Grove South
1042,1042,Wakeland
1043,1043,Hunter College High School
1044,1044,Bronx High School of Science
1045,1045,Sayville
1046,1046,North Carolina School of Science and Mathematics
1047,1047,Sacred Heart Cathedral
1048,1048,Norfolk Academy
1049,1049,Pine Crest School
1050,1050,Sioux City (USHL)
1051,1051,Lake Forest High School
1052,1052,H.B. Plant High School
1053,1053,Fargo Force/Dubuque (USHL)
1054,1054,Twinsburg
1055,1055,Amity Regional
1056,1056,Bellevue
1057,1057,Smithtown East
1058,1058,Dos Pueblos
1059,1059,Moorsetown Friends School
1060,1060,Central Springs
1061,1061,U.S. National Team
1062,1062,Shelby County
1063,1063,Pinkerton Academy
1064,1064,Avon Lake
1065,1065,Greenhills School
1066,1066,Rockhurst
1067,1067,Madison HS
1068,1068,Chestnut Hill Academy
1069,1069,Sacred Heart Prepatory
1070,1070,Gilman
1071,1071,Langley
1072,1072,Hopkins
1073,1073,St. Anthony's High School
1074,1074,Methodist College Belfast
1075,1075,Anderson
1076,1076,St. Rita
1077,1077,Charterhouse
1078,1078,East Greenwich
1079,1079,Hunterdon Central Regional
1080,1080,Charterhouse School
1081,1081,Mariemont
1082,1082,Wayzata
1083,1083,Wauwatosa East
1084,1084,Crystal Springs Uplands
1085,1085,Wethersfield
1086,1086,Riverdale
1087,1087,Ostrovsky
1088,1088,Arcadia High School
1089,1089,Hopkinton
1090,1090,Frank W Cox High School
1091,1091,Harrow School
1092,1092,West Islip
1093,1093,Wyoming
1094,1094,duPont Manual
1095,1095,Worthington Kilbourne
1096,1096,St. Paul's School (NH)
1097,1097,Palos Verdes
1098,1098,Providence Catholic
1099,1099,Bloomington
1100,1100,Palo Alto/Mercersburg Academy (PA)
1101,1101,Lawrence Central
1102,1102,Colleyville Heritage
1103,1103,Midland High
1104,1104,Thomas S. Wootton High School
1105,1105,Academia del Perpetuo Socorro
1106,1106,Gonzaga
1107,1107,Alexis I. DuPont High School
1108,1108,Joel Braverman High School
1109,1109,Dublin Coffman
1110,1110,Methodist College
1111,1111,Minisink Valley
1112,1112,Boston University Academy
1113,1113,"Desmoines, Chicago (USHL)"
1114,1114,Desert Vista
1115,1115,Kings
1116,1116,Fossil Ridge High School
1117,1117,East Wake
1118,1118,The Sanford School
1119,1119,Bellaire Senior High School
1120,1120,Ladue Horton Watkins
1121,1121,Bishop Moore Catholic
1122,1122,Albany High School
1123,1123,Seventy First
